dataset,seed,support_rule,draw,n_queries,coverage,mean_cost_valid,mean_changed_valid,sparse_share_leq3
german_credit,13,random,2,65,0.9230769230769231,0.4676833463880852,1.0166666666666666,1.0
german_credit,13,random,3,65,0.9384615384615385,0.6820103070255735,1.0,1.0
german_credit,13,random,4,65,0.9538461538461539,0.4996717674607997,1.032258064516129,1.0
german_credit,13,feature_importance,0,65,1.0,0.28901985477374387,1.0307692307692307,1.0
german_credit,19,nearest_positive,0,59,0.9661016949152542,0.29789242346979794,1.0,1.0
german_credit,19,random,0,59,0.9491525423728814,0.44053073206289145,1.0535714285714286,1.0
german_credit,19,random,1,59,0.9491525423728814,0.4318635885525261,1.0535714285714286,1.0
german_credit,19,random,2,59,0.9661016949152542,0.4254027941498398,1.0175438596491229,1.0
german_credit,19,random,3,59,0.9830508474576272,0.4211506975171402,1.0517241379310345,1.0
german_credit,19,random,4,59,0.9661016949152542,0.606624942447017,1.0526315789473684,1.0
german_credit,19,feature_importance,0,59,1.0,0.31643959037625957,1.0169491525423728,1.0
german_credit,29,nearest_positive,0,42,1.0,0.6107978328165563,1.1666666666666667,1.0
german_credit,29,random,0,42,0.9285714285714286,0.7152805052122504,1.1538461538461537,1.0
german_credit,29,random,1,42,0.9047619047619048,0.5322430731372872,1.1578947368421053,1.0
german_credit,29,random,2,42,0.8809523809523809,0.6596297803935336,1.135135135135135,1.0
german_credit,29,random,3,42,0.8095238095238095,0.7284014839150603,1.1764705882352942,1.0
german_credit,29,random,4,42,0.8333333333333334,0.6397441568129079,1.1714285714285715,1.0
german_credit,29,feature_importance,0,42,1.0,0.6107978328165563,1.1666666666666667,1.0
german_credit,37,nearest_positive,0,62,0.967741935483871,0.6863161754155648,1.0666666666666667,1.0
german_credit,37,random,0,62,0.8225806451612904,0.5417537513903468,1.0392156862745099,1.0
german_credit,37,random,1,62,0.8870967741935484,0.5908345712625046,1.018181818181818,1.0
german_credit,37,random,2,62,0.9032258064516129,0.7322123928790429,1.0178571428571428,1.0
german_credit,37,random,3,62,0.8064516129032258,0.6709305903238527,1.04,1.0
german_credit,37,random,4,62,0.8064516129032258,0.5347170648946037,1.0,1.0
german_credit,37,feature_importance,0,62,1.0,0.6787590111548285,1.064516129032258,1.0
german_credit,41,nearest_positive,0,45,1.0,0.43055115542486716,1.0,1.0
german_credit,41,random,0,45,1.0,0.45025989404709865,1.0222222222222221,1.0
german_credit,41,random,1,45,0.9777777777777777,0.45001465071761654,1.0,1.0
german_credit,41,random,2,45,1.0,0.47993060795986564,1.0222222222222221,1.0
german_credit,41,random,3,45,1.0,0.4856120580746921,1.0,1.0
german_credit,41,random,4,45,1.0,0.4537120213394555,1.0222222222222221,1.0
german_credit,41,feature_importance,0,45,1.0,0.3898807928711901,1.0222222222222221,1.0
german_credit,53,nearest_positive,0,48,0.9791666666666666,0.9601335991681489,1.127659574468085,1.0
german_credit,53,random,0,48,0.9375,0.7852945659429256,1.0666666666666667,1.0
german_credit,53,random,1,48,0.875,0.8553797101623818,1.0714285714285714,1.0
german_credit,53,random,2,48,0.9791666666666666,0.906046373501355,1.0851063829787233,1.0
german_credit,53,random,3,48,0.875,0.8659740899595592,1.0952380952380953,1.0
german_credit,53,random,4,48,0.875,0.9060924388367854,1.0714285714285714,1.0
